iter	Passed	Remaining
582	93272	66394
583	93426	66230
584	93587	66070
585	93747	65911
586	93912	65754
587	94073	65595
588	94240	65440
589	94407	65285
590	94555	65116
591	94708	64952
592	94861	64787
593	95022	64628
594	95182	64468
595	95342	64308
596	95503	64148
597	95664	63989
598	95815	63823
599	95971	63661
600	96134	63503
601	96298	63345
602	96460	63187
603	96621	63027
604	96784	62870
605	96943	62709
606	97104	62550
607	97263	62389
608	97438	62238
609	97595	62077
610	97755	61917
611	97909	61753
612	98063	61589
613	98226	61431
614	98380	61268
615	98522	61096
616	98680	60935
617	98841	60776
618	99002	60616
619	99157	60454
620	99313	60291
621	99475	60133
622	99630	59970
623	99784	59806
624	99954	59652
625	100118	59495
626	100279	59335
627	100443	59178
628	100606	59020
629	100760	58856
630	100917	58695
631	101080	58537
632	101241	58377
633	101399	58217
634	101564	58059
635	101726	57901
636	101880	57737
637	102033	57573
638	102190	57412
639	102350	57252
640	102514	57094
641	102673	56934
642	102833	56774
643	103000	56618
644	103158	56457
645	103322	56299
646	103483	56140
647	103640	55978
648	103806	55821
649	103966	55662
650	104124	55501
651	104281	55339
652	104444	55181
653	104610	55024
654	104769	54864
655	104929	54703
656	105088	54543
657	105247	54383
658	105411	54225
659	105570	54064
660	105725	53902
661	105889	53744
662	106055	53587
663	106215	53427
664	106375	53267
665	106527	53103
666	106691	52945
667	106851	52785
668	107014	52627
669	107176	52468
670	107337	52308
671	107494	52147
672	107657	51989
673	107818	51829
674	107974	51667
675	108129	51505
676	108302	51351
677	108457	51189
678	108623	51032
679	108784	50872
680	108937	50709
681	109091	50546
682	109247	50384
683	109407	50225
684	109568	50065
685	109723	49903
686	109880	49741
687	110040	49582
688	110204	49424
689	110368	49265
690	110527	49105
691	110680	48942
692	110833	48779
693	110994	48619
694	111149	48458
695	111309	48298
696	111469	48138
697	111626	47976
698	111785	47816
699	111952	47659
700	112112	47500
701	112267	47337
702	112430	47179
703	112592	47020
704	112753	46860
705	112913	46700
706	113073	46540
707	113233	46380
708	113393	46221
709	113554	46061
710	113713	45901
711	113872	45740
712	114032	45581
713	114192	45421
714	114366	45266
715	114532	45109
716	114694	44950
717	114855	44790
718	115011	44628
719	115172	44469
720	115333	44309
721	115497	44151
722	115662	43993
723	115821	43833
724	115980	43672
